SessionID,Date,Page,TrafficSource,Device,Country,Browser,SessionDuration_sec,PageViews,Bounced,NewUser,Conversions,Month,DayOfWeek,SessionDuration_min
S100145,2025-08-19,Products,Direct,Mobile,Canada,Chrome,89,5,0,1,0,August,Tuesday,1.48
S100146,2025-08-25,Products,Organic Search,Desktop,UK,Opera,250,13,0,1,0,August,Monday,4.17
S100147,2025-05-23,Products,Paid Ads,Desktop,Australia,Chrome,24,1,1,1,0,May,Friday,0.4
S100148,2025-06-20,Home,Organic Search,Tablet,India,Edge,266,12,0,0,0,June,Friday,4.43
S100149,2025-01-29,Home,Organic Search,Desktop,USA,Firefox,48,11,0,1,1,January,Wednesday,0.8
S100150,2025-02-05,Home,Direct,Mobile,Australia,Chrome,203,12,0,1,0,February,Wednesday,3.38
S100151,2025-01-13,Home,Organic Search,Desktop,USA,Chrome,150,9,0,1,0,January,Monday,2.5
S100152,2025-06-09,Products,Email,Desktop,Australia,Opera,476,3,0,1,0,June,Monday,7.93
S100153,2025-11-23,Blog,Paid Ads,Desktop,USA,Chrome,88,3,0,1,0,November,Sunday,1.47
S100154,2025-07-06,Home,Organic Search,Mobile,USA,Chrome,12,2,0,1,0,July,Sunday,0.2
S100155,2025-08-31,Signup,Direct,Desktop,USA,Firefox,5,4,0,1,0,August,Sunday,0.08
S100156,2025-03-27,Login,Referral,Desktop,USA,Chrome,315,12,0,1,0,March,Thursday,5.25
S100157,2025-10-11,Blog,Email,Mobile,India,Safari,133,2,0,1,0,October,Saturday,2.22
S100158,2025-03-07,Pricing,Referral,Desktop,India,Chrome,268,13,0,0,0,March,Friday,4.47
S100159,2025-06-19,Products,Organic Search,Desktop,Canada,Chrome,48,9,0,0,0,June,Thursday,0.8
S100160,2025-02-14,Home,Organic Search,Tablet,Canada,Chrome,76,12,0,1,0,February,Friday,1.27
S100161,2025-03-03,FAQ,Organic Search,Desktop,India,Chrome,5,10,0,1,0,March,Monday,0.08
S100162,2025-05-14,Home,Organic Search,Desktop,USA,Chrome,586,7,0,0,0,May,Wednesday,9.77
S100163,2025-10-11,FAQ,Social Media,Mobile,USA,Firefox,198,8,0,1,0,October,Saturday,3.3
S100164,2025-01-28,Blog,Organic Search,Mobile,USA,Safari,487,3,0,1,0,January,Tuesday,8.12
S100165,2025-04-18,Products,Direct,Mobile,UK,Firefox,55,6,0,1,0,April,Friday,0.92
S100166,2025-02-13,Products,Organic Search,Tablet,USA,Chrome,170,10,0,1,0,February,Thursday,2.83
S100167,2025-12-06,Blog,Email,Desktop,USA,Chrome,204,6,0,0,0,December,Saturday,3.4
S100168,2025-10-13,Home,Organic Search,Tablet,Germany,Edge,68,13,0,1,0,October,Monday,1.13
S100169,2025-11-27,Products,Organic Search,Tablet,USA,Chrome,339,1,1,1,0,November,Thursday,5.65
S100170,2025-05-08,Pricing,Social Media,Mobile,USA,Chrome,529,6,0,0,0,May,Thursday,8.82
S100171,2025-12-14,Blog,Organic Search,Mobile,UK,Chrome,389,13,0,1,0,December,Sunday,6.48
S100172,2025-08-19,Home,Direct,Mobile,UK,Chrome,241,14,0,1,0,August,Tuesday,4.02
S100173,2025-07-09,Products,Direct,Desktop,UK,Chrome,58,3,0,1,0,July,Wednesday,0.97
S100174,2025-08-13,Signup,Paid Ads,Mobile,UK,Safari,59,11,0,1,0,August,Wednesday,0.98
S100175,2025-10-10,Blog,Social Media,Desktop,UK,Edge,595,3,0,1,0,October,Friday,9.92
S100176,2025-05-01,Blog,Social Media,Mobile,USA,Chrome,5,3,0,1,0,May,Thursday,0.08
S100177,2025-04-26,Support,Referral,Mobile,USA,Safari,226,10,0,1,0,April,Saturday,3.77
S100178,2025-08-21,Products,Referral,Desktop,UK,Chrome,220,11,0,1,0,August,Thursday,3.67
S100179,2025-09-16,Products,Social Media,Mobile,Germany,Chrome,175,11,0,0,0,September,Tuesday,2.92
S100180,2025-12-25,Login,Direct,Mobile,USA,Firefox,830,10,0,1,0,December,Thursday,13.83
S100181,2025-07-17,Login,Social Media,Mobile,USA,Chrome,67,11,0,1,0,July,Thursday,1.12
S100182,2025-05-17,About,Direct,Desktop,Germany,Chrome,74,8,0,1,0,May,Saturday,1.23
S100183,2025-11-14,Home,Referral,Mobile,India,Firefox,14,13,0,1,0,November,Friday,0.23
S100184,2025-06-14,Pricing,Social Media,Mobile,India,Safari,105,5,0,1,1,June,Saturday,1.75
S100185,2025-08-13,About,Organic Search,Desktop,USA,Firefox,54,4,0,0,0,August,Wednesday,0.9
S100186,2025-11-03,FAQ,Organic Search,Mobile,India,Chrome,75,13,0,1,0,November,Monday,1.25
S100187,2025-08-22,Home,Organic Search,Mobile,USA,Chrome,323,9,0,1,0,August,Friday,5.38
S100188,2025-06-21,Products,Organic Search,Mobile,India,Chrome,493,9,0,1,0,June,Saturday,8.22
S100189,2025-06-01,Home,Organic Search,Desktop,Germany,Chrome,36,1,1,1,0,June,Sunday,0.6
S100190,2025-11-11,Pricing,Direct,Desktop,USA,Safari,83,2,0,1,0,November,Tuesday,1.38
S100191,2025-06-09,Signup,Organic Search,Mobile,UK,Firefox,475,8,0,0,1,June,Monday,7.92
S100192,2025-04-06,Contact,Social Media,Mobile,UK,Chrome,11,5,0,1,0,April,Sunday,0.18
S100193,2025-08-21,FAQ,Organic Search,Mobile,USA,Safari,17,7,0,1,0,August,Thursday,0.28
S100194,2025-06-29,Home,Organic Search,Desktop,India,Chrome,31,1,1,1,0,June,Sunday,0.52
S100195,2025-04-23,Home,Direct,Desktop,Germany,Firefox,162,12,0,1,0,April,Wednesday,2.7
S100196,2025-11-14,Signup,Paid Ads,Mobile,India,Chrome,29,10,0,1,0,November,Friday,0.48
S100197,2025-02-21,Signup,Direct,Mobile,India,Chrome,619,12,0,1,0,February,Friday,10.32
S100198,2025-09-25,Signup,Direct,Desktop,India,Chrome,106,5,0,0,0,September,Thursday,1.77
S100199,2025-10-22,Login,Social Media,Mobile,India,Edge,125,11,0,1,0,October,Wednesday,2.08
S100200,2025-04-23,Products,Organic Search,Desktop,Australia,Chrome,50,12,0,0,0,April,Wednesday,0.83
S100201,2025-04-11,Home,Direct,Desktop,UK,Chrome,114,3,0,0,0,April,Friday,1.9
S100202,2025-04-23,FAQ,Organic Search,Desktop,USA,Chrome,195,10,0,0,0,April,Wednesday,3.25
S100203,2025-03-22,Products,Social Media,Mobile,France,Chrome,250,12,0,1,0,March,Saturday,4.17
S100204,2025-07-06,Products,Social Media,Mobile,India,Chrome,252,12,0,0,0,July,Sunday,4.2
S100205,2025-04-23,Pricing,Social Media,Desktop,UK,Safari,155,14,0,0,0,April,Wednesday,2.58
S100206,2025-01-02,About,Organic Search,Mobile,Australia,Chrome,422,2,0,1,0,January,Thursday,7.03
S100207,2025-05-10,Login,Email,Desktop,Australia,Edge,306,2,0,1,0,May,Saturday,5.1
S100208,2025-08-08,Home,Organic Search,Mobile,India,Chrome,254,9,0,1,0,August,Friday,4.23
S100209,2025-02-23,Login,Organic Search,Mobile,UK,Chrome,10,13,0,1,0,February,Sunday,0.17
S100210,2025-12-09,Contact,Organic Search,Desktop,India,Chrome,5,4,0,1,0,December,Tuesday,0.08
S100211,2025-08-12,Blog,Social Media,Desktop,USA,Firefox,42,4,0,1,0,August,Tuesday,0.7
S100212,2025-08-13,Products,Organic Search,Mobile,USA,Chrome,196,7,0,0,0,August,Wednesday,3.27
S100213,2025-05-06,About,Social Media,Mobile,Germany,Chrome,95,10,0,1,0,May,Tuesday,1.58
S100214,2025-05-10,Products,Paid Ads,Desktop,India,Safari,92,10,0,1,0,May,Saturday,1.53
S100215,2025-02-22,Products,Organic Search,Mobile,India,Safari,388,13,0,0,0,February,Saturday,6.47
S100216,2025-06-21,Blog,Direct,Mobile,India,Firefox,406,2,0,1,0,June,Saturday,6.77
S100217,2025-08-06,About,Organic Search,Mobile,India,Safari,431,3,0,1,0,August,Wednesday,7.18
S100218,2025-06-09,Home,Direct,Desktop,India,Chrome,67,3,0,1,0,June,Monday,1.12
S100219,2025-07-17,Home,Organic Search,Mobile,Canada,Chrome,211,6,0,1,0,July,Thursday,3.52
S100220,2025-09-04,Pricing,Referral,Mobile,USA,Safari,57,3,0,0,0,September,Thursday,0.95
S100221,2025-11-20,Home,Direct,Mobile,India,Chrome,38,11,0,1,0,November,Thursday,0.63
S100222,2025-07-22,Signup,Email,Tablet,UK,Chrome,36,5,0,1,0,July,Tuesday,0.6
S100223,2025-07-03,Pricing,Organic Search,Desktop,Germany,Firefox,75,4,0,0,0,July,Thursday,1.25
S100224,2025-05-03,Login,Email,Mobile,Germany,Chrome,101,3,0,1,0,May,Saturday,1.68
S100225,2025-09-12,Signup,Paid Ads,Desktop,Germany,Chrome,319,8,0,1,0,September,Friday,5.32
S100226,2025-10-21,Home,Social Media,Desktop,India,Firefox,22,14,0,0,0,October,Tuesday,0.37
S100227,2025-10-07,Login,Paid Ads,Mobile,Germany,Safari,238,10,0,1,0,October,Tuesday,3.97
S100228,2025-11-21,Blog,Organic Search,Mobile,USA,Chrome,136,3,0,0,0,November,Friday,2.27
S100229,2025-04-08,Signup,Direct,Desktop,UK,Chrome,61,6,0,1,0,April,Tuesday,1.02
S100230,2025-07-17,Signup,Social Media,Tablet,France,Chrome,122,13,0,0,0,July,Thursday,2.03
S100231,2025-08-28,Home,Social Media,Desktop,Australia,Chrome,64,7,0,0,0,August,Thursday,1.07
S100232,2025-05-24,Products,Paid Ads,Desktop,Australia,Chrome,163,7,0,0,0,May,Saturday,2.72
S100233,2025-04-07,Blog,Organic Search,Desktop,India,Chrome,102,2,0,1,0,April,Monday,1.7
S100234,2025-07-20,Pricing,Organic Search,Mobile,USA,Firefox,32,14,0,1,0,July,Sunday,0.53
S100235,2025-05-04,About,Organic Search,Mobile,Canada,Chrome,22,3,0,1,1,May,Sunday,0.37
S100236,2025-07-06,About,Paid Ads,Desktop,UK,Opera,142,12,0,1,0,July,Sunday,2.37
S100237,2025-11-22,Products,Paid Ads,Mobile,India,Chrome,418,10,0,0,0,November,Saturday,6.97
S100238,2025-12-15,Blog,Social Media,Mobile,Germany,Edge,75,10,0,0,0,December,Monday,1.25
S100239,2025-09-16,Support,Direct,Mobile,India,Chrome,237,4,0,1,0,September,Tuesday,3.95
S100240,2025-05-28,Login,Social Media,Desktop,Germany,Chrome,193,7,0,1,0,May,Wednesday,3.22
S100241,2025-09-09,Products,Social Media,Mobile,Australia,Chrome,482,2,0,0,0,September,Tuesday,8.03
S100242,2025-12-12,Home,Organic Search,Mobile,USA,Firefox,309,3,0,1,0,December,Friday,5.15
S100243,2025-05-27,Home,Social Media,Desktop,USA,Safari,150,7,0,0,0,May,Tuesday,2.5
S100244,2025-05-28,Products,Direct,Desktop,USA,Firefox,192,7,0,0,0,May,Wednesday,3.2
S100245,2025-12-18,Login,Direct,Mobile,Australia,Firefox,411,10,0,0,0,December,Thursday,6.85
S100246,2025-07-18,Products,Organic Search,Desktop,USA,Chrome,91,3,0,0,0,July,Friday,1.52
S100247,2025-11-04,Blog,Email,Mobile,UK,Chrome,71,12,0,1,0,November,Tuesday,1.18
S100248,2025-05-08,Signup,Paid Ads,Desktop,UK,Chrome,5,1,1,0,0,May,Thursday,0.08
S100249,2025-02-08,FAQ,Social Media,Mobile,USA,Chrome,315,12,0,0,0,February,Saturday,5.25
S100250,2025-12-04,Home,Email,Desktop,USA,Safari,290,3,0,1,0,December,Thursday,4.83
S100251,2025-12-26,Home,Direct,Tablet,Germany,Edge,19,5,0,1,0,December,Friday,0.32
S100252,2025-05-09,Products,Social Media,Mobile,France,Chrome,154,7,0,1,0,May,Friday,2.57
S100253,2025-09-24,Pricing,Direct,Mobile,India,Safari,112,4,0,1,0,September,Wednesday,1.87
S100254,2025-05-31,Support,Email,Desktop,India,Chrome,22,13,0,1,0,May,Saturday,0.37
S100255,2025-10-25,Home,Direct,Mobile,USA,Chrome,709,13,0,1,0,October,Saturday,11.82
S100256,2025-04-09,Home,Social Media,Mobile,UK,Chrome,43,11,0,1,0,April,Wednesday,0.72
S100257,2025-09-20,Signup,Social Media,Mobile,USA,Chrome,12,11,0,1,0,September,Saturday,0.2
S100258,2025-09-09,Pricing,Social Media,Desktop,France,Chrome,162,1,1,1,0,September,Tuesday,2.7
S100259,2025-05-24,Support,Email,Mobile,India,Chrome,241,6,0,1,0,May,Saturday,4.02
